ID,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Goals_Assists,Total_Contributions,Minutes_per_Goal,Minutes_per_Assist,Goals_Category,Assists_Category
1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
2,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.5,0.0,0.0,0,0.0,1.0,1.0,0,0
3,3,0,4,0.0,0.0,0.0,4.0,0.0,5.0,0.0,13.0,28.0,4.0,11.0,35.0,0.43,20.0,122.0,197.0,220.0,105.0,105.0,7.0,932.0,8.0,0.17,8.0,49.0,3.0,69.0,28.0,0.41,13.0,0.0,20,20.0,78.0,136.5,3,2
4,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,1.0,8.0,20.0,0.6,8.0,35.0,40.0,29.0,16.0,11.0,3.0,544.0,1.0,0.25,21.0,10.0,1.0,5.0,2.0,0.22,0.0,0.0,4,4.0,123.5,61.75,1,1
5,1,0,5,0.0,0.0,0.0,6.0,0.0,3.0,0.0,5.0,18.0,5.0,11.0,12.0,0.53,4.0,34.0,33.0,30.0,5.0,6.0,2.0,209.0,2.0,0.0,6.0,24.0,0.0,38.0,12.0,0.32,4.0,0.0,7,7.0,140.33333333333334,280.6666666666667,1,1
6,3,0,4,0.0,0.0,0.0,6.0,0.0,1.0,0.0,8.0,26.0,4.0,11.0,49.0,0.35,15.0,158.0,125.0,176.0,3.0,9.0,10.0,1900.0,17.0,0.39,45.0,30.0,0.0,77.0,23.0,0.3,4.0,0.0,18,18.0,147.66666666666666,120.81818181818181,2,2
7,3,0,4,0.0,0.0,0.0,6.0,0.0,1.0,0.0,8.0,26.0,4.0,11.0,49.0,0.35,15.0,158.0,125.0,176.0,3.0,9.0,10.0,1900.0,17.0,0.39,45.0,30.0,0.0,77.0,23.0,0.3,4.0,0.0,18,18.0,147.66666666666666,120.81818181818181,2,2
8,3,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,14.0,0.79,11.0,56.0,36.0,33.0,7.0,8.0,0.0,621.0,0.0,1.0,25.0,10.0,0.0,8.0,2.0,0.25,0.0,0.0,0,0.0,250.0,250.0,0,0
9,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
10,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
11,2,0,0,1.2,0.0,0.0,2.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,158.0,0.0,0.0,23.0,0.0,0.0,5.0,2.0,0.22,0.0,9.0,0,0.0,450.0,450.0,0,0
12,3,0,5,0.0,0.0,0.0,6.0,0.0,2.0,0.0,16.0,25.0,5.0,11.0,66.0,0.53,15.0,34.0,33.0,30.0,5.0,6.0,9.0,1310.0,15.0,0.0,6.0,41.0,1.0,108.0,37.0,0.34,11.0,0.0,25,25.0,87.23529411764706,148.3,4,2
13,0,0,1,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,28.0,5.0,29.0,41.0,0.63,29.0,213.0,139.0,94.0,72.0,49.0,1.0,2839.0,0.0,0.33,68.0,22.0,2.0,5.0,2.0,0.22,0.0,0.0,3,3.0,540.0,810.0,1,1
14,3,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,11.0,4.0,0.25,3.0,15.0,12.0,19.0,3.0,5.0,1.0,211.0,0.0,0.0,1.0,5.0,0.0,15.0,7.0,0.47,1.0,0.0,1,1.0,105.0,52.5,0,1
15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
16,0,0,1,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,17.0,3.0,10.0,20.0,0.45,18.0,54.0,57.0,50.0,26.0,20.0,1.0,608.0,0.0,0.36,16.0,14.0,0.0,5.0,2.0,0.22,0.0,0.0,3,3.0,194.33333333333334,291.5,1,1
17,3,0,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,25.0,5.0,11.0,27.0,0.53,8.0,34.0,33.0,30.0,5.0,6.0,1.0,606.0,3.0,0.0,6.0,15.0,1.0,60.0,22.0,0.37,7.0,0.0,13,13.0,42.76923076923077,278.0,3,1
