ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
1,Folarin Balogun,FWD,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
2,Mohamed Elneny,MID,Arsenal,0,0,0,0,0,0,1,0,0,0,3,0,,0,0%,1,2,1,3,1,1,0,40,0,0%,0,1,0,2,1,50%,0,
3,Kai Havertz,MID,Arsenal,4,0,0,0,4,0,1092,5,0,13,28,4,,35,43%,20,122,197,220,105,105,7,932,8,17%,8,49,3,69,28,41%,13,
4,Jakub Kiwior,DEF,Arsenal,0,0,0,0,1,0,247,0,0,1,17,1,8,20,60%,8,35,40,29,16,11,3,544,1,25%,21,10,1,,,,,
5,Eddie Nketiah,FWD,Arsenal,5,0,0,0,6,0,842,3,0,5,18,5,,12,,4,,,,,,2,209,2,,,24,0,38,12,32%,4,
6,Martin Ødegaard,MID,Arsenal,4,0,0,0,6,0,1329,1,0,8,26,4,,49,35%,15,158,125,176,3,9,10,"1,900",17,39%,45,30,0,77,23,30%,4,
7,Martin Ødegaard,MID,Arsenal,4,0,0,0,6,0,1329,1,0,8,26,4,,49,35%,15,158,125,176,3,9,10,"1,900",17,39%,45,30,0,77,23,30%,4,
8,Thomas Partey,MID,Arsenal,0,0,0,0,1,0,250,0,0,0,12,0,,14,79%,11,56,36,33,7,8,0,621,0,100%,25,10,0,8,2,25%,0,
9,Nicolas Pépé,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
10,Nicolas Pépé,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
11,Aaron Ramsdale,GKP,Arsenal,0,1.2,0,0,2,6,450,0,0,0,5,0,5,,,,,,,,,0,158,,,23,0,,,,,,9
12,Bukayo Saka,MID,Arsenal,5,0,0,0,6,0,1483,2,0,16,25,5,,66,,15,,,,,,9,"1,310",15,,,41,1,108,37,34%,11,
13,William Saliba,DEF,Arsenal,1,0,0,0,7,0,1620,1,0,2,28,5,29,41,63%,29,213,139,94,72,49,1,"2,839",0,33%,68,22,2,,,,,
14,Emile Smith Rowe,MID,Arsenal,0,0,0,0,1,0,105,0,0,0,9,2,,4,25%,3,15,12,19,3,5,1,211,0,0%,1,5,0,15,7,47%,1,
15,Kieran Tierney,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
16,Takehiro Tomiyasu,DEF,Arsenal,1,0,0,0,3,0,583,0,1,2,17,3,10,20,45%,18,54,57,50,26,20,1,608,0,36%,16,14,0,,,,,
17,Leandro Trossard,MID,Arsenal,3,0,0,0,2,0,556,0,0,12,25,5,,27,,8,,,,,,1,606,3,,,15,1,60,22,37%,7,
18,Granit Xhaka,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
19,Oleksandr Zinchenko,DEF,Arsenal,1,0,0,0,6,0,1139,2,0,1,19,4,15,50,60%,20,104,93,60,27,16,2,"1,411",5,17%,53,7,0,,,,,
20,Declan Rice,MID,Arsenal,3,0,0,0,7,0,1563,2,0,7,28,5,,83,61%,44,178,156,143,39,46,8,"2,227",9,35%,78,34,2,58,20,34%,2,
21,Reiss Nelson,MID,Arsenal,0,0,0,0,0,0,63,0,0,0,11,3,,9,67%,1,22,16,22,0,5,0,127,1,21%,2,5,0,4,1,25%,0,
22,Jurriën Timber,DEF,Arsenal,0,0,0,0,0,0,49,1,0,0,2,0,0,2,100%,0,4,4,5,1,1,0,67,0,0%,1,3,0,,,,,
23,Karl Hein,GKP,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
24,Reuell Walters,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
25,Bradley Ibrahim,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
26,Myles Lewis-Skelly,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
27,Leon Bailey,MID,Aston Villa,5,0,0,0,3,0,693,3,0,10,18,9,,13,54%,9,107,110,156,15,24,9,701,12,23%,27,26,0,53,18,34%,1,
28,Matty Cash,DEF,Aston Villa,2,0,0,1,3,0,1262,5,0,2,16,7,36,54,57%,18,110,103,114,15,21,2,"1,028",6,23%,31,30,0,,,,,
29,Keinan Davis,FWD,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
30,Leander Dendoncker,MID,Aston Villa,0,0,0,0,0,0,32,0,0,1,6,2,,6,67%,2,4,11,8,4,5,0,56,0,0%,3,1,0,2,1,50%,0,
31,Lucas Digne,DEF,Aston Villa,0,0,0,0,5,0,1472,5,0,1,17,9,41,47,40%,26,101,129,101,42,25,3,"1,013",5,23%,21,29,1,,,,,
32,Jhon Durán,FWD,Aston Villa,2,0,0,0,0,0,136,4,0,5,11,5,,6,,1,,,,,,0,114,0,,,12,0,20,7,35%,1,
33,Tim Iroegbunam,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,4,4,,7,71%,2,15,14,19,2,0,0,55,0,0%,0,9,0,0,0,0%,0,
34,Tim Iroegbunam,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,4,4,,7,71%,2,15,14,19,2,0,0,55,0,0%,0,9,0,0,0,0%,0,
35,Boubacar Kamara,MID,Aston Villa,0,0,0,0,5,0,1347,6,1,0,13,5,,43,67%,21,97,105,108,20,25,1,"1,024",1,0%,41,35,0,5,1,20%,0,
36,John McGinn,MID,Aston Villa,4,0,0,0,4,0,1531,4,0,6,19,9,,59,59%,21,161,191,191,9,19,4,"1,142",10,34%,73,39,0,40,16,40%,3,
37,Robin Olsen,GKP,Aston Villa,0,1,0,0,0,1,90,0,0,0,1,3,13,,,,,,,,,0,184,,,20,0,,,,,,21
38,Jacob Ramsey,MID,Aston Villa,1,0,0,0,0,0,312,0,0,1,11,3,,16,50%,3,42,41,52,5,3,1,310,1,18%,0,7,0,19,5,26%,2,
39,Morgan Sanson,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
40,Viljami Sinisalo,GKP,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
41,Youri Tielemans,MID,Aston Villa,0,0,0,0,1,0,555,0,0,2,18,7,,41,49%,15,97,98,86,13,9,6,907,5,6%,36,22,0,14,6,43%,1,
42,Bertrand Traoré,MID,Aston Villa,0,0,0,0,0,0,10,0,0,0,2,0,,1,,0,,,,,,0,3,0,,,0,0,0,0,0%,0,
43,Bertrand Traoré,MID,Aston Villa,0,0,0,0,0,0,10,0,0,0,2,0,,1,,0,,,,,,0,3,0,,,0,0,0,0,0%,0,
44,Ollie Watkins,FWD,Aston Villa,9,0,0,0,4,0,1579,3,0,19,20,9,,12,,4,,,,,,13,590,11,,,22,5,107,47,44%,22,
45,Pau Torres,DEF,Aston Villa,2,0,0,0,4,0,1489,1,0,2,18,5,37,29,62%,14,127,79,76,23,22,0,"1,770",1,38%,85,18,1,,,,,
46,Moussa Diaby,MID,Aston Villa,3,0,0,0,4,0,1192,0,0,6,20,10,,12,,9,,,,,,8,569,13,,,16,0,54,23,43%,7,
47,Omari Kellyman,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,2,,1,0%,0,2,1,2,0,1,0,7,0,0%,0,0,0,1,0,0%,0,
48,Filip Marschall,GKP,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
49,Nicolò Zaniolo,MID,Aston Villa,1,0,0,0,1,0,484,4,0,2,11,7,,19,47%,1,36,60,112,7,14,0,208,0,0%,3,24,1,27,10,37%,3,
50,Oliwier Zych,GKP,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
51,Clément Lenglet,DEF,Aston Villa,0,0,0,0,0,0,90,0,0,0,5,6,27,13,69%,7,37,43,25,15,11,1,910,1,0%,51,3,0,,,,,
52,Sam Proctor,GKP,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
53,Tommi O'Reilly,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
54,Jaidon Anthony,MID,Bournemouth,0,0,0,0,0,0,151,1,0,0,0,2,,3,,1,,,,,,0,43,0,,,4,0,2,1,50%,0,
55,Ryan Christie,MID,Bournemouth,0,0,0,0,4,0,1322,2,0,0,12,16,,86,51%,52,231,196,225,22,38,5,"1,220",10,26%,88,48,0,43,13,30%,0,
56,Siriki Dembélé,MID,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
57,James Hill,DEF,Bournemouth,0,0,0,0,0,0,15,0,0,0,3,1,1,3,67%,3,7,7,4,4,1,0,34,0,0%,3,1,0,,,,,
58,Lloyd Kelly,DEF,Bournemouth,0,0,0,0,2,0,681,1,0,0,7,11,32,24,79%,13,121,67,52,28,18,1,772,2,24%,55,17,0,,,,,
59,Lloyd Kelly,DEF,Bournemouth,0,0,0,0,2,0,681,1,0,0,7,11,32,24,79%,13,121,67,52,28,18,1,772,2,24%,55,17,0,,,,,
